Carimbo de data/hora,Sua faixa de idade,Gênero,Nível de Escolaridade,Tempo de carreira,Ano em que começou a trabalhar em TI,Quantidade de empresas que já trabalhou,Cargo atual,Regime de trabalho,Modalidade de trabalho,Faixa salarial bruta mensal,Principal Linguagem de Programação/Tecnologia usada,Forma de estudo,Participa de cursos ou certificação contínuas?,Quão importante vc considera socializar com outras pessoas ,"Canais de comunicação utilizados para aprender/ensinar
",Participa de projetos open-source?,O quão bom você se considera em socializar?,Qual foi sua maior dificuldade na área? ,Região que reside,"Caso tenha algum comentário ou sugestão, deixe aqui 😊 "
25/04/2025 00:15:29,18-24 anos,Masculino,Bacharelado,Até 2 anos,01/01/2024,1-3 empresas,Júnior,CLT,Presencial,"Até R$ 2000,00",TS,Mista,Sim,4,"Youtube, Podcasts, Conferências",Nunca,,,,
24/04/2025 22:03:37,18-24 anos,Masculino,Bacharelado Incompleto,Até 2 anos,01/08/2023,1-3 empresas,Júnior,CLT,Presencial,"Entre R$ 2000,00 e R$ 4000,00",Delphi (pascal),Mista,Sim,3,"Blogs, Youtube, Podcasts, Foruns e tbm documentação oficial",Nunca,Acredito que na média,Comunicação,Sul,
19/05/2025 19:42:19,18-24 anos,Masculino,Bacharelado Incompleto,Até 2 anos,19/05/2022,1-3 empresas,Júnior,PJ,Remoto,"Entre R$ 4000,00 e R$ 6000,00",Jaca,Mista,Sim,3,"Blogs, Youtube, Podcasts, Conferências",Nunca,Muito bom,Ferramentas,Sul,
19/05/2025 19:48:23,35-44 anos,Masculino,Tecnólogo Incompleto,Até 2 anos,01/11/2024,1-3 empresas,Suporte ,CLT,Presencial,"Entre R$ 2000,00 e R$ 4000,00",PHP,Mista,Sim,5,Youtube,Nunca,Bom,Falta de oportunidades,Sul,
19/05/2025 19:56:12,45-54 anos,Masculino,Pós-Graduação Completa,Mais de 23 anos,19/05/2001,10-12 empresas,Gestão,Prolabore,Remoto,"Mais R$ 8000,00",Ruby ,100% Autodidata,Não,5,"Blogs, Youtube, Conferências, Mentoria",Ocasionalmente,,Ferramentas,Sul,
19/05/2025 19:57:58,18-24 anos,Masculino,Tecnólogo Incompleto,3-6 anos,30/09/2019,4-6 empresas,Sênior,CLT,Remoto,"Mais R$ 8000,00",PHP,Mista,Sim,5,"Blogs, Youtube, Podcasts, Conferências, Mentoria",Ocasionalmente,Atualmente me considero muito bom,Network,Sul,
22/05/2025 08:15:38,18-24 anos,Masculino,Bacharelado Incompleto,Até 2 anos,01/03/2023,1-3 empresas,Pleno,CLT,Presencial,"Entre R$ 2000,00 e R$ 4000,00",Dart,Mista,Sim,4,"livros, documentação, cursos e fóruns",Nunca,"bom não tenho problemas em conversar, oque me ajuda a me vender como programador",Comunicação,Sudeste,Base e fundamentos da programação é a coisa mais importante apesar de alunos não gostarem por não sentirem que estão fazendo algo realmente funcional em vista um mercado de trabalho muito rápido
22/05/2025 08:18:48,18-24 anos,Feminino,Pós-Graduação Completa,3-6 anos,22/06/2020,1-3 empresas,Pleno,CLT,Remoto,"Entre R$ 6000,00 e R$ 8000,00",Typescript,Mista,Não,5,"Blogs, Youtube",Nunca,,Falta de oportunidades,Sudeste,.
22/05/2025 08:43:29,45-54 anos,Masculino,Pós-Graduação Completa,15-18 anos,01/01/2009,1-3 empresas,Tech Lead,CLT,Híbrido,"Mais R$ 8000,00",Java,Mista,Não,4,Conferências,Regularmente,,Network,Centro-Oeste,Nada a declarar
22/05/2025 09:17:47,25-34 anos,Masculino,Bacharelado Completo,Até 2 anos,01/08/2022,1-3 empresas,Júnior,CLT,Presencial,"Entre R$ 2000,00 e R$ 4000,00",TypeScript,Mista,Não,4,"Blogs, Youtube",Regularmente,,Comunicação,Sul,Não tenho comentários nem sugestões
22/05/2025 09:28:27,55 anos ou mais,Masculino,Pós-Graduação Completa,Mais de 23 anos,01/01/1985,13-15 empresas,CTO,Pró-labore,Remoto,"Mais R$ 8000,00",php / typescript,Mista,Sim,5,"Blogs, Youtube",Regularmente,razoavel,Network,Sudeste,"5 paginas de perguntas nao é uma ""pesquisa rapida"""
22/05/2025 10:41:16,25-34 anos,Masculino,Pós-Graduação Completa,11-14 anos,01/01/2015,1-3 empresas,Júnior,CLT,Presencial,"Mais R$ 8000,00",c++,Mista,Sim,5,livros e artigos científicos ,Regularmente,3,Comunicação,Sudeste,
22/05/2025 14:24:15,25-34 anos,Masculino,Ensino Médio Completo,3-6 anos,01/01/2012,4-6 empresas,Júnior,CLT,Presencial,"Até R$ 2000,00",JSF FullStack,100% Autodidata,Não,3,udemy,Ocasionalmente,Nada bom,Falta de oportunidades,Sul,
22/05/2025 14:55:32,35-44 anos,Masculino,Pós-Graduação Completa,15-18 anos,01/01/2010,1-3 empresas,Sênior,PJ,Remoto,"Mais R$ 8000,00",C#,Mista,Sim,4,"Blogs, Youtube, Podcasts",Nunca,Pouco,Network,Sul,Muito bom!
22/05/2025 15:46:21,35-44 anos,Masculino,Bacharelado Completo,11-14 anos,,7-9 empresas,Pleno,PJ,Híbrido,"Entre R$ 6000,00 e R$ 8000,00",Java,Mista,Sim,2,"Blogs, Youtube, Podcasts, Conferências, Mentoria",Ocasionalmente,Bom,Ferramentas,Sul,
